n,mes,ano,ingresos_neto,beneficios,cursos
1,enero,2021,4402000,0,0
2,febrero,2021,4402000,0,0
3,marzo,2021,4402000,0,0
4,abril,2021,4402000,0,0
5,mayo,2021,4402000,0,0
6,junio,2021,4402000,0,0
7,julio,2021,4402000,0,0
8,agosto,2021,4402000,0,0
9,septiembre,2021,4402000,0,0
10,octubre,2021,4402000,0,0
11,noviembre,2021,4402000,0,0
12,diciembre,2022,4400000,0,0
13,enero,2022,4400000,0,0
14,febrero,2022,4400000,0,0
15,marzo,2022,4400000,0,0
16,abril,2022,4400000,0,0
17,mayo,2022,4400000,0,0
18,junio,2022,4400000,350000,0
19,julio,2022,4400000,350000,0
20,agosto,2022,4400000,350000,0
21,septiembre,2022,4400000,350000,0
22,octubre,2022,4400000,350000,0
23,noviembre,2022,4400000,350000,0
24,diciembre,2022,8800000,350000,0
25,enero,2023,4400000,350000,0
26,febrero,2023,4400000,350000,0
27,marzo,2023,4400000,350000,0
28,abril,2023,4400000,350000,0
29,mayo,2023,4400000,350000,0
30,junio,2023,4400000,350000,0
31,julio,2023,6050000,350000,0
32,agosto,2023,6050000,350000,0
33,septiembre,2023,6050000,350000,0
34,octubre,2023,6050000,350000,0
35,noviembre,2023,6050000,350000,0
36,diciembre,2023,6050000,350000,0
